Opening Name	White Wins	Draws	Black Wins	FEN	PGN
King's Pawn-King's Knight Opening-Scotch Game-Al Pacino Variation	612096	42218	474604	r1bqk1nr/pppp1ppp/2nb4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 d4 Bd6
King's Pawn-King's Knight Opening-Scotch Game-Lasker Counterattack	672736	59194	498195	r1bqkbnr/ppp2ppp/2n5/3pp3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 d4 d5
King's Pawn-King's Knight Opening-Scotch Game-Fonaroff Defence	4350074	403425	3188814	r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	1 e4 e5 2 Nf3 Nc6 3 d4 d6
King's Pawn-King's Knight Opening-Scotch Game-Relfsson/MacLopez Gambit	108576	9478	108253	r1bqkbnr/pppp1ppp/2n5/1B6/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bb5
King's Pawn-King's Knight Opening-Scotch Game-London Defence	386014	23901	288373	r1bqk1nr/pppp1ppp/2n5/8/1bBpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 5	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bb4+
King's Knight Opening-Scotch Game-London Defence-Hanneken Variation	128	11	96	r1bq1rk1/pppp1ppp/5n2/4n1N1/1bB5/8/PB3PPP/RN1Q1RK1 w - - 0 10	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bb4+ 5 c3 dxc3 6 0-0 cxb2 7 Bxb2 Nf6 8 Ng5 0-0 9 e5 Nxe5
King's Knight Opening-Scotch Game-London Defence-Cochrane's Attack	219049	12323	157022	r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/2P2N2/P4PPP/RNBQK2R b KQkq - 0 6	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bb4+ 5 c3 dxc3 6 bxc3 (Ba5 7 e5)
King's Pawn-King's Knight Opening-Scotch Game-Haxo Gambit	2124192	138121	1661257	r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 5	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bc5
King's Pawn-King's Knight Opening-Scotch Game-Haxo Gambit-Cochrane-Anderssen/Paulsen/Suhle Counterattack	75376	6233	96650	r2qk1nr/ppp2ppp/2np4/2b5/2BpP1b1/2P2N2/PP3PPP/RNBQ1RK1 w kq - 1 7	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bc5 5 0-0 d6 6 c3 Bg4
King's Pawn-King's Knight Opening-Scotch Game-Haxo Gambit-Saratt Variation	527734	35176	446272	r1bqk1nr/pppp1ppp/2n5/2b3N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq - 3 5	1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Bc4 Bc5 5 Ng5
